Año-Mes,Fabricación de cemento y productos a base de cemento en plantas integrada (TONELADA)
2013 Enero,"2,949,365"
2013 Febrero,"2,934,381"
2013 Marzo,"3,165,628"
2013 Abril,"3,103,526"
2013 Mayo,"3,224,599"
2013 Junio,"3,133,269"
2013 Julio,"3,107,234"
2013 Agosto,"3,027,876"
2013 Septiembre,"2,705,493"
2013 Octubre,"3,055,030"
2013 Noviembre,"3,052,277"
2013 Diciembre,"3,056,416"
2014 Enero,"2,936,983"
2014 Febrero,"2,886,227"
2014 Marzo,"3,354,627"
2014 Abril,"3,072,432"
2014 Mayo,"3,383,902"
2014 Junio,"3,151,448"
2014 Julio,"3,224,425"
2014 Agosto,"3,276,078"
2014 Septiembre,"3,020,624"
2014 Octubre,"3,313,387"
2014 Noviembre,"3,298,662"
2014 Diciembre,"3,466,171"
2015 Enero,"3,083,214"
2015 Febrero,"3,178,154"
2015 Marzo,"3,705,576"
2015 Abril,"3,487,324"
2015 Mayo,"3,636,281"
2015 Junio,"3,468,942"
2015 Julio,"3,507,457"
2015 Agosto,"3,509,710"
2015 Septiembre,"3,391,463"
2015 Octubre,"3,480,057"
2015 Noviembre,"3,328,634"
2015 Diciembre,"3,474,420"
2016 Enero,"3,141,560"
2016 Febrero,"3,295,665"
2016 Marzo,"3,474,244"
2016 Abril,"3,571,956"
2016 Mayo,"3,768,415"
2016 Junio,"3,664,392"
2016 Julio,"3,876,506"
2016 Agosto,"3,450,550"
2016 Septiembre,"3,404,485"
2016 Octubre,"3,621,066"
2016 Noviembre,"3,299,039"
2016 Diciembre,"3,798,807"
2017 Enero,"3,431,983"
2017 Febrero,"3,305,361"
2017 Marzo,"3,848,942"
2017 Abril,"3,609,632"
2017 Mayo,"3,800,432"
2017 Junio,"3,614,851"
2017 Julio,"3,695,732"
2017 Agosto,"3,466,933"
2017 Septiembre,"3,299,316"
2017 Octubre,"3,499,683"
2017 Noviembre,"3,521,318"
2017 Diciembre,"3,741,438"
2018 Enero,"3,473,754"
2018 Febrero,"3,323,386"
2018 Marzo,"3,725,514"
2018 Abril,"3,725,441"
2018 Mayo,"3,932,760"
2018 Junio,"3,703,790"
2018 Julio,"3,582,259"
2018 Agosto,"3,591,333"
2018 Septiembre,"3,605,777"
2018 Octubre,"3,360,253"
2018 Noviembre,"3,376,292"
2018 Diciembre,"3,404,807"
2019 Enero,"3,107,343"
2019 Febrero,"3,006,145"
2019 Marzo,"3,502,799"
2019 Abril,"3,249,296"
2019 Mayo,"3,447,016"
2019 Junio,"3,443,389"
2019 Julio,"3,399,049"
2019 Agosto,"3,458,400"
2019 Septiembre,"3,169,410"
2019 Octubre,"3,453,686"
2019 Noviembre,"3,148,045"
2019 Diciembre,"3,353,876"
2020 Enero,"3,243,280"
2020 Febrero,"3,274,044"
2020 Marzo,"3,434,942"
2020 Abril,"2,979,936"
2020 Mayo,"3,111,140"
2020 Junio,"3,387,126"
2020 Julio,"3,693,990"
2020 Agosto,"3,702,120"
2020 Septiembre,"3,528,426"
2020 Octubre,"3,925,110"
2020 Noviembre,"3,748,284"
